freq,unit,na_item,geo\TIME_PERIOD	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,CP_MEUR,B1GQ,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2166.3 	2687.1 	3100.0 	2981.9 	3120.5 	3238.0 	3169.3 	3329.6 	3447.2 	3615.0 	3936.6 	4252.5 	4600.9 	4898.4 	4144.8 	4923.2 	5944.4 	7068.8 	7644.5 	8170.7 p
A,CP_MEUR,B1GQ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4094.6 	4143.5 	4240.5 	4385.9 	4577.7 	5032.0 	5472.2 	6094.5 	6772.1 	6766.5 	7108.3 	7544.2 	7584.8 	8149.6 	8562.0 	9072.3 	9656.5 	10038.3 	10744.0 	11262.0 	10851.7 	11834.7 	13243.2 	14667.4 	15672.0 p	16949.1 e
A,CP_MEUR,B1GQ,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2838.2 	3010.5 	3341.0 	3581.2 	3852.1 	4377.0 	4546.1 	4724.5 	4796.9 	4915.6 	5133.8 	5380.6 	5778.2 	6236.5 	6287.6 	6862.0 	7032.8 	7479.5 	8129.4 	8948.5 	10221.4 	10864.3 	12535.7 	13678.6 	14594.2 	14362.4 	16680.3 	17985.3 	20929.2 	23142.3 	24577.9 
A,CP_MEUR,B1GQ,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	346510.0 	355624.3 	368473.6 	392001.0 	420143.0 	452191.0 	482941.0 	502901.0 	514901.0 	531573.0 	553122.0 	587444.0 	622775.0 	651299.0 	630173.0 	643022.0 	656013.0 	658232.0 	665567.0 	678627.0 	699175.0 	720175.0 	750861.0 	787273.0 	829767.0 	816463.0 	891550.0 	993820.0 	1050133.0 	1115252.0 	1170579.0 
A,CP_MEUR,B1GQ,NO	26443.9 	32048.2 	36241.7 	36424.8 	38643.8 	46170.3 	56966.2 	63849.3 	69037.3 	78684.7 	86106.0 	79701.4 	81486.3 	85898.3 	92825.3 	93987.5 	97966.7 	100459.8 	102312.9 	106463.5 	115517.7 	127812.1 	141151.8 	136319.6 	151382.2 	185108.4 	193936.4 	207723.8 	202757.6 	213960.0 	250500.2 	278755.5 	298195.2 	323749.7 	285072.6 	332350.4 	368828.4 	408646.0 	406481.2 	389086.7 	361028.8 	346542.3 	368640.5 	385198.6 	378978.5 	335661.0 	440848.6 	587476.0 	464330.3 	462846.4 	470358.7 
A,CP_MEUR,B1GQ,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109251.2 	126689.1 	141122.1 	155540.9 	160193.7 	187532.8 	213857.2 	211220.0 	193199.6 	207064.4 	246903.6 	275514.0 	314356.3 	367420.9 	317876.9 	360890.7 	379540.6 	387660.3 	390177.0 	408714.7 	432485.8 	427658.6 	469071.2 	503951.0 	538423.5 	531827.4 	583001.4 	661712.3 	751931.7 	852229.8 	922865.5 
A,CP_MEUR,B1GQ,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91015.8 	96626.8 	103306.6 	110683.7 	119603.3 	128414.4 	135775.0 	142554.3 	146067.9 	152248.4 	158552.7 	166260.5 	175483.4 	179102.8 	175416.4 	179860.4 	176318.0 	168538.8 	170675.6 	173186.7 	179392.7 	186380.7 	195509.1 	204997.6 	214489.9 	201032.7 	216493.7 	243957.1 	270352.6 	289784.3 p	306749.6 p
A,CP_MEUR,B1GQ,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28589.8 	29035.4 	31450.5 	37063.3 	33726.8 	40594.9 	45143.6 	48695.7 	51108.5 	60402.0 	79223.9 	97215.6 	127632.0 	146589.7 	125219.8 	128305.3 	138528.2 	139307.7 	142936.0 	150528.8 	160289.0 	167497.1 	186399.2 	204780.7 	223341.4 	219839.8 	240986.6 	280777.4 	321577.9 	353633.1 p	380058.1 p
A,CP_MEUR,B1GQ,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28209.6 	19835.3 	24765.0 	20091.1 	20747.9 	30369.9 	15303.4 	19024.9 	20864.2 	21560.1 	22777.2 	26582.1 	32813.0 	37099.0 	33776.0 	32841.2 	36865.2 	35074.4 	37978.2 	37014.0 	37219.6 	38164.7 	40828.4 	44710.6 	48104.5 	49024.2 	55931.3 	63512.8 	75205.2 p	83257.9 p	88672.8 e
A,CP_MEUR,B1GQ,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	181450.2 	192581.3 	204133.2 	229933.4 	236737.0 	241537.8 	257340.7 	285224.2 	270638.2 	284182.8 	296070.9 	309720.9 	315348.4 	336866.7 	358064.8 	352761.6 	313033.6 	372381.5 	410287.8 	427901.2 	439805.4 	435639.5 	452337.2 	463918.8 	474838.2 	465753.3 	474202.9 	478106.9 	533953.6 	547190.4 	535176.8 	563572.2 	601240.9 
A,CP_MEUR,B1GQ,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16352.0 	16917.3 	18288.8 	19706.3 	21132.4 	21726.2 	23018.1 	24679.7 	26004.7 	27484.3 	28914.4 	31300.2 	34936.9 	37742.1 	35830.3 	36050.8 	36782.2 	35933.6 	36041.3 	37270.9 	38493.9 	40013.2 	42625.5 	45462.4 	48156.5 	46738.7 	52032.4 	56881.6 	64050.0 	67418.1 	70486.2 
A,CP_MEUR,B1GQ,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15524.4 	17219.8 	19427.8 	20415.6 	19537.0 	22368.6 	23869.3 	26300.3 	29924.1 	34623.4 	39239.7 	45592.0 	56354.7 	66065.4 	64055.1 	68726.7 	71629.5 	73727.6 	74642.7 	76562.3 	80376.3 	81621.6 	84960.4 	90275.9 	94547.5 	94320.6 	101891.6 	109959.8 	123538.7 	130207.5 	136754.3 
A,CP_MEUR,B1GQ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	179629.4 	197491.5 	233205.2 	245042.7 	240363.8 	298848.2 	224789.4 	252071.2 	279289.9 	329015.6 	407228.2 	441934.6 	499751.2 	529385.7 	468545.3 	589054.8 	604835.5 	687291.7 	723009.3 	709567.6 	778072.8 	786644.3 	764822.9 	666902.5 	692385.8 	638349.1 	707145.8 	880351.2 	1051699.7 	1253386.7 	1406211.3 
A,CP_MEUR,B1GQ,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35062.3 	43915.2 	46469.2 	45961.9 	54027.9 	71835.2 	89091.3 	108496.5 	128508.2 	86946.6 	102270.9 	117384.2 	136750.4 	138021.4 	101185.1 	82203.6 	84254.1 	99198.6 	110834.0 	137528.0 	136595.3 	168960.3 	154006.3 	167632.0 	176270.4 	: 
A,CP_MEUR,B1GQ,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3537.6 	3610.4 	4031.0 	4555.9 	4797.3 	5071.3 	5325.1 	5674.4 	6037.3 	6356.5 	6671.5 	7056.2 	6771.6 	7957.9 	8895.7 	9680.1 	10350.4 	11026.3 p
