freq,unit,na_item,geo\TIME_PERIOD	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,CP_MPPS_EU27_2020,P31_S14,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2644.3 	2926.3 	3029.0 	3160.0 	3382.2 	3691.9 	3776.2 	3778.0 	4103.4 	4359.2 	4596.1 	4719.9 	4910.4 	5046.4 	4950.6 	5165.4 	5397.9 	5491.2 	5634.3 	5711.7 	5878.4 	6056.4 	6395.3 	7026.8 	7549.2 	6741.4 	7419.6 	8415.9 	10143.1 	10809.3 	11511.5 
A,CP_MPPS_EU27_2020,P31_S14,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	146898.9 	158531.1 	166056.2 	177904.6 	192557.1 	207290.3 	214522.3 	223668.3 	223289.3 	231308.1 	241013.5 	246954.9 	258695.4 	266027.4 	250766.1 	253882.0 	263307.3 	264939.7 	271022.5 	269640.7 	276282.1 	276991.7 	290701.7 	301951.2 	303059.8 	292191.5 	321173.3 	371762.9 	395924.9 	411166.0 	424457.5 
A,CP_MPPS_EU27_2020,P31_S14,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41509.4 	45814.3 	47402.9 	48356.6 	51626.9 	56384.9 	58215.0 	61365.0 	64413.5 	69222.6 	74908.8 	80555.9 	84349.6 	87350.1 	85435.6 	90556.9 	93243.2 	97406.5 	100635.5 	101757.2 	100498.0 	100666.1 	107366.6 	112575.1 	112831.8 	105532.6 	121452.6 	141657.6 	139309.9 	142998.6 	148542.1 
A,CP_MPPS_EU27_2020,P31_S14,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	145319.3 	164316.1 	177882.7 	187889.4 	201978.6 	214987.6 	226156.4 	244056.5 	248554.2 	265475.7 	270592.1 	282067.4 	300907.7 	331546.4 	336745.0 	371331.3 	394223.1 	407390.1 	406236.0 	414494.9 	431190.4 	436555.9 	463973.0 	484649.1 	505047.4 	495946.7 	538320.3 	607647.1 	629063.8 	661695.7 	716013.3 
A,CP_MPPS_EU27_2020,P31_S14,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76348.0 	80632.5 	83189.5 	86785.2 	93537.5 	99862.1 	102536.1 	106206.7 	110217.2 	114031.1 	122775.3 	130007.3 	135281.4 	140852.4 	132959.6 	139911.0 	134827.4 	132389.5 	133808.0 	137429.1 	139824.0 	143361.2 	145716.5 	151233.7 	157300.3 	146765.8 	157681.4 	180787.7 	197510.1 	208640.4 p	217014.3 p
A,CP_MPPS_EU27_2020,P31_S14,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71278.4 	79991.7 	75877.4 	79576.7 	74799.7 	73767.4 	81117.7 	86090.8 	90087.4 	108530.1 	117031.7 	131419.2 	149562.9 	167992.4 	158284.9 	167875.6 	178298.1 	185175.7 	172828.9 	177193.0 	185989.3 	200355.0 	224822.6 	244109.1 	258465.5 	253735.7 	278086.5 	308752.6 	332685.3 	362239.9 p	377705.1 p
A,CP_MPPS_EU27_2020,P31_S14,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28528.6 	30678.7 	32590.4 	33168.4 	38754.0 	41791.1 	45533.0 	48957.5 	53997.2 	51865.0 	53101.7 	55712.7 	55439.3 	54972.6 	55064.2 	54662.7 	54909.8 	56848.0 	58330.0 	60756.3 	58949.2 	64150.5 	69518.3 	75947.7 p	82846.0 p	86890.5 e
A,CP_MPPS_EU27_2020,P31_S14,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80302.4 	84721.9 	86711.5 	88838.7 	95647.1 	102662.6 	102551.8 	105354.8 	108339.5 	113720.8 	116226.7 	121698.3 	131400.8 	134174.2 	132630.4 	138406.0 	143807.9 	148011.9 	149309.4 	151400.2 	157545.5 	157582.4 	161740.4 	166608.4 	169770.3 	165806.3 	180373.3 	192319.2 	199750.9 	209662.8 	221234.0 
A,CP_MPPS_EU27_2020,P31_S14,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13159.1 	13786.0 	14246.5 	14701.8 	15865.8 	16264.2 	16802.9 	17510.0 	18384.1 	19351.5 	20194.7 	20369.2 	21765.1 	23049.2 	22424.6 	23429.4 	24245.6 	24614.2 	24099.2 	24143.7 	24449.8 	25236.1 	26288.6 	27493.6 	29424.3 	27607.9 	31395.6 	36051.9 	37564.1 	39021.2 	40374.9 
A,CP_MPPS_EU27_2020,P31_S14,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19840.2 	22003.0 	22762.0 	24357.6 	25197.3 	26667.3 	29605.1 	31602.8 	32555.9 	35850.2 	38717.7 	42781.7 	47160.7 	53421.8 	54211.8 	57030.8 	56769.8 	58711.6 	58730.0 	60005.3 	61292.5 	59769.6 	61766.7 	63481.1 	66064.8 	69591.7 	74032.7 	83867.1 	88814.4 	94185.2 	97893.0 
A,CP_MPPS_EU27_2020,P31_S14,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	320134.0 	345911.8 	380080.8 	291992.2 	299420.9 	335350.9 	309835.8 	315609.8 	337565.3 	381546.0 	414118.5 	452613.3 	497639.4 	524527.7 	502023.6 	583913.7 	658765.2 	682712.6 	721797.6 	771545.3 	836547.0 	836968.3 	873711.3 	840772.5 	832877.3 	830237.9 	891830.2 	1098825.7 	1225649.1 	1320809.7 	1346793.1 
